speaker,party,unique_speaker
"Abgeordnete Mag. Carmen Jeitler-Cincelli, BA (ÖVP)",ÖVP,"Abgeordnete Mag. Carmen Jeitler-Cincelli, BA"
Abgeordneter Erwin Angerer,FPÖ,Abgeordneter Erwin Angerer
Abgeordneter Yannick Shetty (NEOS),NEOS,Abgeordneter Mag. Yannick Shetty
"Abgeordneter Michel Reimon, MBA (Grüne)",Grüne,"Abgeordneter Michel Reimon, MBA"
"Mitglied des Europäischen Parlaments Claudia Gamon, MSc (WU) (NEOS)",NEOS,"Mitglied des Europäischen Parlaments Claudia Gamon, MSc (WU)"
Abgeordnete Petra Steger (FPÖ),FPÖ,Abgeordnete Petra Steger
Mitglied des Europäischen Parlaments Dr. Angelika Winzig (ÖVP),ÖVP,Mitglied des Europäischen Parlaments Dr. Angelika Winzig
Mitglied des Europäischen Parlaments Mag. Dr. Günther Sidl (SPÖ),SPÖ,Mitglied des Europäischen Parlaments Mag. Dr. Günther Sidl (SPÖ)
Mitglied des Europäischen Parlaments Dr. Monika Vana,Grüne,Mitglied des Europäischen Parlaments Dr. Monika Vana
Abgeordneter Christoph Stark,ÖVP,Abgeordneter Christoph Stark
Abgeordnete Mag. Karin Greiner,SPÖ,Abgeordnete Mag. Karin Greiner
Abgeordneter Christoph Zarits (ÖVP),ÖVP,Abgeordneter Christoph Zarits
Abgeordneter Klaus Köchl,SPÖ,Abgeordneter Klaus Köchl
Abgeordnete Mag. Agnes Sirkka Prammer (Grüne),Grüne,Abgeordnete Mag. Agnes Sirkka Prammer
"Bundesministerin für Justiz Dr. Alma Zadić, LL.M.",Grüne,"Dr. Alma Zadić, LL.M."
Abgeordneter Dietmar Keck (SPÖ),SPÖ,Abgeordneter Dietmar Keck
Abgeordnete Mag. Verena Nussbaum (SPÖ),SPÖ,Abgeordnete Mag. Verena Nussbaum
Abgeordneter Peter Schmiedlechner (FPÖ),FPÖ,Abgeordneter Peter Schmiedlechner
Abgeordnete Dipl.-Ing. Olga Voglauer,Grüne,Abgeordnete Dipl.-Ing. Olga Voglauer
Abgeordneter Franz Leonhard Eßl,ÖVP,Abgeordneter Franz Leonhard Eßl
Abgeordneter Clemens Stammler,Grüne,Abgeordneter Clemens Stammler
Abgeordneter Ing. Josef Hechenberger,ÖVP,Abgeordneter Ing. Josef Hechenberger
Abgeordneter Ing. Markus Vogl,SPÖ,Abgeordneter Ing. Markus Vogl
Bundesministerin für Digitalisierung und Wirtschaftsstandort Dr. Margarete,ÖVP,Bundesministerin für Digitalisierung und Wirtschaftsstandort Dr. Margarete Schramböck
"Abgeordnete Mag. Dr. Maria Theresia Niss, MBA",ÖVP,"Abgeordnete Mag. Dr. Maria Theresia Niss, MBA"
Abgeordnete Dr. Elisabeth Götze (Grüne),Grüne,Abgeordnete Dr. Elisabeth Götze
Abgeordneter Nico Marchetti,ÖVP,Abgeordneter Nico Marchetti
Abgeordnete Mag. Dr. Petra Oberrauner (SPÖ),SPÖ,Abgeordnete Mag. Dr. Petra Oberrauner
Abgeordneter Lukas Hammer,Grüne,Abgeordneter Lukas Hammer
Abgeordneter Lukas Brandweiner,ÖVP,Abgeordneter Lukas Brandweiner
Abgeordneter Michael Seemayer (SPÖ),SPÖ,Abgeordneter Michael Seemayer
Abgeordneter Yannick Shetty,NEOS,Abgeordneter Mag. Yannick Shetty
Abgeordneter Karl Schmidhofer (ÖVP),ÖVP,Abgeordneter Karl Schmidhofer
Abgeordnete Petra Vorderwinkler (SPÖ),SPÖ,Abgeordnete Petra Vorderwinkler
"Abgeordneter Maximilian Köllner, MA (SPÖ)",SPÖ,"Abgeordneter Maximilian Köllner, MA"
Abgeordneter Mag. Dr. Martin Graf (FPÖ),FPÖ,Abgeordneter Mag. Dr. Martin Graf
Abgeordneter Süleyman Zorba,Grüne,Abgeordneter Süleyman Zorba
Abgeordneter Mag. Harald Stefan (FPÖ),FPÖ,Abgeordneter Mag. Harald Stefan
Abgeordneter Dr. Harald Troch (SPÖ),SPÖ,Abgeordneter Dr. Harald Troch
Abgeordneter Alexander Melchior,ÖVP,Abgeordneter Alexander Melchior
Abgeordneter Mag. Thomas Drozda,SPÖ,Abgeordneter Mag. Thomas Drozda
Abgeordneter Mag. Christian Drobits (SPÖ),SPÖ,Abgeordneter Mag. Christian Drobits
Abgeordnete Henrike Brandstötter,NEOS,Abgeordnete Henrike Brandstötter
Abgeordnete Dr. Astrid Rössler,Grüne,Abgeordnete Dr. Astrid Rössler
Abgeordneter Kai Jan Krainer,SPÖ,Abgeordneter Kai Jan Krainer
Abgeordneter Andreas Kollross,SPÖ,Abgeordneter Andreas Kollross
"Abgeordnete Mag. Dr. Maria Theresia Niss, MBA (ÖVP)",ÖVP,"Abgeordnete Mag. Dr. Maria Theresia Niss, MBA"
Abgeordnete Mag. Dr. Petra Oberrauner,SPÖ,Abgeordnete Mag. Dr. Petra Oberrauner
Abgeordneter Laurenz Pöttinger (ÖVP),ÖVP,Abgeordneter Laurenz Pöttinger
Abgeordneter Alois Schroll,SPÖ,Abgeordneter Alois Schroll
"Abgeordnete Mag. Carmen Jeitler-Cincelli, BA",ÖVP,"Abgeordnete Mag. Carmen Jeitler-Cincelli, BA"
Abgeordneter Alexander Melchior (ÖVP),ÖVP,Abgeordneter Alexander Melchior
Abgeordneter Nico Marchetti (ÖVP),ÖVP,Abgeordneter Nico Marchetti
Abgeordneter Mag. Dr. Rudolf Taschner (ÖVP),ÖVP,Abgeordneter Mag. Dr. Rudolf Taschner
"Abgeordnete Eva-Maria Himmelbauer, BSc (ÖVP)",ÖVP,"Abgeordnete Eva-Maria Himmelbauer, BSc"
Abgeordneter Dr. Christian Stocker (ÖVP),ÖVP,Abgeordneter Dr. Christian Stocker
Abgeordneter Mag. Dr. Rudolf Taschner,ÖVP,Abgeordneter Mag. Dr. Rudolf Taschner
Abgeordnete Mag. Dr. Sonja Hammerschmid (SPÖ),SPÖ,Abgeordnete Mag. Dr. Sonja Hammerschmid
Abgeordnete Mag. Sibylle Hamann (Grüne),Grüne,Abgeordnete Mag. Sibylle Hamann
Abgeordnete Mag. Martina Künsberg Sarre,NEOS,Abgeordnete Mag. Martina Künsberg Sarre
"Bundesminister für Bildung, Wissenschaft und Forschung Dr. Heinz Faßmann",Parteilos,"Bundesminister für Bildung, Wissenschaft und Forschung Dr. Heinz Faßmann"
Abgeordnete Petra Vorderwinkler,SPÖ,Abgeordnete Petra Vorderwinkler
"Abgeordnete MMag. Dr. Agnes Totter, BEd",ÖVP,"Abgeordnete MMag. Dr. Agnes Totter, BEd"
Abgeordneter Ing. Johann Weber (ÖVP),ÖVP,Abgeordneter Ing. Johann Weber
Abgeordneter Maximilian Lercher (SPÖ),SPÖ,Abgeordneter Maximilian Lercher
Abgeordnete Mag. Maria Smodics-Neumann (ÖVP),ÖVP,Abgeordnete Mag. Maria Smodics-Neumann
Abgeordneter Andreas Kühberger,ÖVP,Abgeordneter Andreas Kühberger
Abgeordneter Christian Lausch,FPÖ,Abgeordneter Christian Lausch
Abgeordneter Johann Singer,ÖVP,Abgeordneter Johann Singer
Präsidentin des Rechnungshofes Dr. Margit Kraker,ÖVP,Präsidentin des Rechnungshofes Dr. Margit Kraker
Abgeordneter Wolfgang Zanger (FPÖ),FPÖ,Abgeordneter Wolfgang Zanger
"Abgeordnete Rosa Ecker, MBA (FPÖ)",FPÖ,"Abgeordnete Rosa Ecker, MBA"
Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP),ÖVP,Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller
Bundesministerin für Frauen und Integration im Bundeskanzleramt MMag. Dr. Susanne Raab,ÖVP,"Bundesministerin für Frauen, Familie, Jugend und Integration im Bundeskanzleramt MMag. Dr. Susanne Raab"
Abgeordneter Mag. Klaus Fürlinger,ÖVP,Abgeordneter Mag. Klaus Fürlinger
Abgeordnete Mag. Corinna Scharzenberger,ÖVP,Abgeordnete Mag. Corinna Scharzenberger
"Abgeordnete Fiona Fiedler, BEd (NEOS)",NEOS,"Abgeordnete Fiona Fiedler, BEd"
Abgeordnete Mag. Elisabeth Scheucher-Pichler (ÖVP),ÖVP,Abgeordnete Mag. Elisabeth Scheucher-Pichler
Abgeordneter Ing. Martin Litschauer,Grüne,Abgeordneter Ing. Martin Litschauer
Abgeordneter Mag. Gerhard Kaniak,FPÖ,Abgeordneter Mag. Gerhard Kaniak
Abgeordneter Dr. Josef Smolle,ÖVP,Abgeordneter Dr. Josef Smolle
Abgeordneter Johann Höfinger,ÖVP,Abgeordneter Johann Höfinger
Abgeordnete Petra Wimmer,SPÖ,Abgeordnete Petra Wimmer
Abgeordneter Mag. Friedrich Ofenauer (ÖVP),ÖVP,Abgeordneter Mag. Friedrich Ofenauer
Abgeordneter Walter Rauch,FPÖ,Abgeordneter Walter Rauch
Abgeordneter Peter Schmiedlechner,FPÖ,Abgeordneter Peter Schmiedlechner
"Abgeordneter Mag. Hannes Amesbauer, BA (FPÖ)",FPÖ,"Abgeordneter Mag. Hannes Amesbauer, BA"
"Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Dr. Wolfgang Mückstein",Grüne,"Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Dr. Wolfgang Mückstein"
Abgeordneter Peter Wurm (FPÖ),FPÖ,Abgeordneter Peter Wurm
Abgeordnete Mag. Karin Greiner (SPÖ),SPÖ,Abgeordnete Mag. Karin Greiner
"Bundesminister für Kunst, Kultur, öffentlichen Dienst und Sport Vizekanzler",Grüne,Mag. Werner Kogler
"Bundesminister für Arbeit, Familie und Jugend Mag. Dr. Martin Kocher",Parteilos,"Bundesminister für Arbeit, Familie und Jugend Mag. Dr. Martin Kocher"
Abgeordnete Claudia Plakolm,ÖVP,Abgeordnete Claudia Plakolm
"Abgeordnete Eva Maria Holzleitner, BSc (SPÖ)",SPÖ,"Abgeordnete Eva Maria Holzleitner, BSc"
Abgeordneter Norbert Sieber,ÖVP,Abgeordneter Norbert Sieber
Abgeordneter Michael Seemayer,SPÖ,Abgeordneter Michael Seemayer
Präsidentin des Rechnungshofes Rechnungshof Dr. Margit Kraker,ÖVP,Präsidentin des Rechnungshofes Dr. Margit Kraker
Abgeordneter Andreas Kühberger (ÖVP),ÖVP,Abgeordneter Andreas Kühberger
Abgeordneter Nikolaus Prinz,ÖVP,Abgeordneter Nikolaus Prinz
Abgeordnete Mag. Ulrike Fischer (Grüne),Grüne,Abgeordnete Mag. Ulrike Fischer
Abgeordneter Hans Stefan Hintner (ÖVP),ÖVP,Abgeordneter Hans Stefan Hintner
Abgeordneter Mag. Michael Hammer (ÖVP),ÖVP,Abgeordneter Mag. Michael Hammer
Abgeordnete Mag. Andrea Kuntzl,SPÖ,Abgeordnete Mag. Andrea Kuntzl
Abgeordneter Mag. Yannick Shetty (NEOS),NEOS,Abgeordneter Mag. Yannick Shetty
Abgeordneter Joachim Schnabel,ÖVP,Abgeordneter Joachim Schnabel
Abgeordnete Angela Baumgartner (ÖVP),ÖVP,Abgeordnete Angela Baumgartner
Abgeordneter Mag. Philipp Schrangl (FPÖ),FPÖ,Abgeordneter Mag. Philipp Schrangl
Abgeordnete Mag. Nina Tomaselli,Grüne,Abgeordnete Mag. Nina Tomaselli
"Abgeordneter Ing. Klaus Lindinger, BSc (ÖVP)",ÖVP,"Abgeordneter Ing. Klaus Lindinger, BSc"
Abgeordneter Mario Lindner,SPÖ,Abgeordneter Mario Lindner
Abgeordnete Ing. Mag. (FH) Alexandra Tanda,ÖVP,Abgeordnete Ing. Mag. (FH) Alexandra Tanda
Abgeordneter Karl Schmidhofer,ÖVP,Abgeordneter Karl Schmidhofer
Abgeordnete Mag. Julia Seidl,NEOS,Abgeordnete Mag. Julia Seidl
Abgeordneter Alois Schroll (SPÖ),SPÖ,Abgeordneter Alois Schroll
Abgeordnete Mag. Michaela Steinacker (ÖVP),ÖVP,Abgeordnete Mag. Michaela Steinacker
Abgeordneter Dr. Johannes Margreiter (NEOS),NEOS,Abgeordneter Dr. Johannes Margreiter
Abgeordneter Dipl.-Ing. Nikolaus Berlakovich,ÖVP,Abgeordneter Dipl.-Ing. Nikolaus Berlakovich
Abgeordneter Dipl.-Ing. Gerhard Deimek (FPÖ),FPÖ,Abgeordneter Dipl.-Ing. Gerhard Deimek
Abgeordneter Andreas Ottenschläger (ÖVP),ÖVP,Abgeordneter Andreas Ottenschläger
Abgeordneter Ing. Martin Litschauer (Grüne),Grüne,Abgeordneter Ing. Martin Litschauer
Abgeordnete Mag. Nina Tomaselli (Grüne),Grüne,Abgeordnete Mag. Nina Tomaselli
Abgeordnete Dr. Astrid Rössler (Grüne),Grüne,Abgeordnete Dr. Astrid Rössler
Abgeordnete Cornelia Ecker,SPÖ,Abgeordnete Cornelia Ecker
"Abgeordneter Dr. Werner Saxinger, MSc",ÖVP,"Abgeordneter Dr. Werner Saxinger, MSc"
Abgeordneter Wolfgang Zanger,FPÖ,Abgeordneter Wolfgang Zanger
Abgeordneter Karl Mahrer (ÖVP),ÖVP,"Abgeordneter Karl Mahrer, BA"
Abgeordneter Dr. Reinhard Eugen Bösch (FPÖ),FPÖ,Abgeordneter Dr. Reinhard Eugen Bösch
Abgeordnete Kira Grünberg,ÖVP,Abgeordnete Kira Grünberg
Abgeordneter Rainer Wimmer (SPÖ),SPÖ,Abgeordneter Rainer Wimmer
Abgeordneter Ing. Johann Weber,ÖVP,Abgeordneter Ing. Johann Weber
Abgeordneter Ing. Josef Hechenberger (ÖVP),ÖVP,Abgeordneter Ing. Josef Hechenberger
"Bundeskanzler Karl Nehammer, MSc",ÖVP,"Karl Nehammer, MSc"
"Bundesminister für Bildung, Wissenschaft und Forschung Dr. Martin Polaschek",Parteilos,"Bundesminister für Bildung, Wissenschaft und Forschung Dr. Martin Polaschek"
Abgeordnete Mag. Romana Deckenbacher,ÖVP,Abgeordnete Mag. Romana Deckenbacher
Abgeordnete Mag. Selma Yildirim (SPÖ),SPÖ,Abgeordnete Mag. Selma Yildirim
Abgeordneter Mag. Martin Engelberg,ÖVP,Abgeordneter Mag. Martin Engelberg
Abgeordnete Irene Neumann-Hartberger,ÖVP,Abgeordnete Irene Neumann-Hartberger
Abgeordneter Mag. Wolfgang Sobotka,ÖVP,Abgeordneter Mag. Wolfgang Sobotka
Abgeordneter Christoph Stark (ÖVP),ÖVP,Abgeordneter Christoph Stark
"Abgeordnete Martina Kaufmann, MMSc BA (ÖVP)",ÖVP,"Abgeordnete Martina Kaufmann, MMSc BA"
Abgeordneter Ing. Markus Vogl (SPÖ),SPÖ,Abgeordneter Ing. Markus Vogl
Abgeordnete Dr. Gudrun Kugler (ÖVP),ÖVP,Abgeordnete Dr. Gudrun Kugler
"Abgeordneter Karl Mahrer, BA",ÖVP,"Abgeordneter Karl Mahrer, BA"
Abgeordnete Carina Reiter,ÖVP,Abgeordnete Carina Reiter
Abgeordneter Dr. Josef Moser,Parteilos,Abgeordneter Dr. Josef Moser
Bundesministerin für Digitalisierung und Wirtschaftsstandort Dr. Margarete Schram,ÖVP,Bundesministerin für Digitalisierung und Wirtschaftsstandort Dr. Margarete Schramböck
"Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Rudolf",Grüne,"Bundesminister für Arbeit, Soziales, Gesundheit und Konsumentenschutz Rudolf Anschober"
"Staatssekretär im Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie Dr. Magnus Brunner, LL.M.",ÖVP,"Dr. Magnus Brunner, LL.M."
Abgeordneter Peter Weidinger,ÖVP,Abgeordneter Mag. Peter Weidinger
Abgeordneter Alois Kainz,FPÖ,Abgeordneter Alois Kainz
"Staatssekretärin im Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport Mag. Andrea Mayer",Parteilos,"Staatssekretärin im Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport Mag. Andrea Mayer"
Abgeordneter Ing. Mag. Volker Reifenberger (FPÖ),FPÖ,Abgeordneter Ing. Mag. Volker Reifenberger
Abgeordnete Maria Großbauer,ÖVP,Abgeordnete Maria Großbauer
"Abgeordneter Maximilian Köllner, MA",SPÖ,"Abgeordneter Maximilian Köllner, MA"
Abgeordneter Mag. Christian Ragger (FPÖ),FPÖ,Abgeordneter Mag. Christian Ragger
"Bundesministerin für Frauen, Familie, Jugend und Integration im Bundeskanzleramt MMag. Dr. Susanne Raab",ÖVP,"Bundesministerin für Frauen, Familie, Jugend und Integration im Bundeskanzleramt MMag. Dr. Susanne Raab"
Abgeordneter Christian Ries (FPÖ),FPÖ,Abgeordneter Christian Ries
Abgeordneter Norbert Sieber (ÖVP),ÖVP,Abgeordneter Norbert Sieber
Abgeordnete Mag. Romana Deckenbacher (ÖVP),ÖVP,Abgeordnete Mag. Romana Deckenbacher
Abgeordnete Heike Grebien,Grüne,Abgeordnete Heike Grebien
Abgeordnete MMMag. Gertraud Salzmann (ÖVP),ÖVP,Abgeordnete MMMag. Gertraud Salzmann
Abgeordneter Mag. (FH) Kurt Egger,ÖVP,Abgeordneter Mag. (FH) Kurt Egger
Abgeordnete Kira Grünberg (ÖVP),ÖVP,Abgeordnete Kira Grünberg
Abgeordneter Lukas Brandweiner (ÖVP),ÖVP,Abgeordneter Lukas Brandweiner
Abgeordneter Peter Weidinger (ÖVP),ÖVP,Abgeordneter Mag. Peter Weidinger
Abgeordneter Mag. Thomas Drozda (SPÖ),SPÖ,Abgeordneter Mag. Thomas Drozda
Abgeordneter Dr. Josef Moser (ÖVP),ÖVP,Abgeordneter Dr. Josef Moser
"Bundesminister für Europa, Integration und Äußeres Mag. Alexander Schallenberg, LL.M.",ÖVP,"Mag. Alexander Schallenberg, LL.M."
"Bundesminister für Europa, Integration und Äußeres Mag. Alexander Schallenberg",ÖVP,"Mag. Alexander Schallenberg, LL.M."
Abgeordnete Irene Neumann-Hartberger (ÖVP),ÖVP,Abgeordnete Irene Neumann-Hartberger
Abgeordnete Mag. Bettina Rausch,ÖVP,Abgeordnete Mag. Bettina Rausch
Bundesminister für Inneres Mag. Gerhard Karner,ÖVP,Bundesminister für Inneres Mag. Gerhard Karner
Staatssekretärin im Bundeskanzleramt Claudia Plakolm,ÖVP,Abgeordnete Claudia Plakolm
Abgeordneter Mag. Yannick Shetty,NEOS,Abgeordneter Mag. Yannick Shetty
"Staatssekretärin im Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport Mag. Ulrike Lunacek",Grüne,"Staatssekretärin im Bundesministerium für Kunst, Kultur, öffentlichen Dienst und Sport Mag. Ulrike Lunacek"
Abgeordneter Mag. Peter Weidinger (ÖVP),ÖVP,Abgeordneter Mag. Peter Weidinger
Mitglied des Europäischen Parlaments Mag. Evelyn Regner,SPÖ,Mitglied des Europäischen Parlaments Mag. Evelyn Regner
Abgeordnete Mag. Maria Smodics-Neumann,ÖVP,Abgeordnete Mag. Maria Smodics-Neumann
"Mitglied des Europäischen Parlaments Mag. Dr. Georg Mayer, MBL-HSG",FPÖ,"Mitglied des Europäischen Parlaments Mag. Dr. Georg Mayer, MBL-HSG"
Mitglied des Europäischen Parlaments Dr. Angelika Winzig,ÖVP,Mitglied des Europäischen Parlaments Dr. Angelika Winzig
Mitglied des Europäischen Parlaments Mag. Andreas Schieder,SPÖ,Mitglied des Europäischen Parlaments Mag. Andreas Schieder
"Abgeordneter Karl Mahrer, BA (ÖVP)",ÖVP,"Abgeordneter Karl Mahrer, BA"
"Bundesminister für Arbeit, Soziales, Gesundheit und Konsumentenschutz Rudolf Anschober",Grüne,"Bundesminister für Arbeit, Soziales, Gesundheit und Konsumentenschutz Rudolf Anschober"
"Mitglied des Europäischen Parlaments Claudia Gamon, MSc (WU)",NEOS,"Mitglied des Europäischen Parlaments Claudia Gamon, MSc (WU)"
Mitglied des Europäischen Parlaments Hannes Heide,SPÖ,Mitglied des Europäischen Parlaments Hannes Heide
Abgeordneter Joachim Schnabel (ÖVP),ÖVP,Abgeordneter Joachim Schnabel
Abgeordnete Edith Mühlberghuber (FPÖ),FPÖ,Abgeordnete Edith Mühlberghuber
Bundesministerin für Frauen und Integration im Bundeskanzleramt MMag. Dr. Susanne,ÖVP,"Bundesministerin für Frauen, Familie, Jugend und Integration im Bundeskanzleramt MMag. Dr. Susanne Raab"
"Bundesminister für europäische und internationale Angelegenheiten Mag. Alexander Schallenberg, LL.M.",ÖVP,"Mag. Alexander Schallenberg, LL.M."
Abgeordnete Pia Philippa Strache (ohne Klubzugehörigkeit),Parteilos,Abgeordnete Pia Philippa Strache
Abgeordnete Dipl.-Ing. Andrea Holzner,ÖVP,Abgeordnete Dipl.-Ing. Andrea Holzner
"Bundesminister für Finanzen Dkfm. Eduard Müller, MBA",Parteilos,"Bundesminister für Finanzen Dkfm. Eduard Müller, MBA"
Abgeordneter Mario Lindner (SPÖ),SPÖ,Abgeordneter Mario Lindner
Mag. Meri Disoski,Grüne,Abgeordnete Mag. Meri Disoski
Mitglied des Europäischen Parlaments Mag. Roman Haider (FPÖ),FPÖ,Mitglied des Europäischen Parlaments Mag. Roman Haider
Mitglied des Europäischen Parlaments Dr. Monika Vana (Grüne),Grüne,Mitglied des Europäischen Parlaments Dr. Monika Vana
"Abgeordnete MMag. Dr. Agnes Totter, BEd (ÖVP)",ÖVP,"Abgeordnete MMag. Dr. Agnes Totter, BEd"
Mitglied des Europäischen Parlaments Mag. Lukas Mandl,ÖVP,Mitglied des Europäischen Parlaments Mag. Lukas Mandl
"Abgeordnete Dr. Alma Zadić, LL.M.",Grüne,"Dr. Alma Zadić, LL.M."
"Abgeordnete Dr. Alma Zadić, LL.M. (Grüne)",Grüne,"Dr. Alma Zadić, LL.M."
Abgeordneter Stefan Kaineder,Grüne,Abgeordneter Stefan Kaineder
"Bundesminister für Europa, Integration und Äußeres Mag. Alexander Schallenberg, LL.M",ÖVP,"Mag. Alexander Schallenberg, LL.M."
"Abgeordnete MMag. Katharina Werner, Bakk. (NEOS)",NEOS,"Abgeordnete MMag. Katharina Werner, Bakk."
Abgeordneter Mag. (FH) Kurt Egger (ÖVP),ÖVP,Abgeordneter Mag. (FH) Kurt Egger
Abgeordneter Sebastian Kurz (ÖVP),ÖVP,Sebastian Kurz
"Bundesministerin für Frauen, Familie, Jugend und Integration MMag. Dr. Susanne Raab",ÖVP,"Bundesministerin für Frauen, Familie, Jugend und Integration im Bundeskanzleramt MMag. Dr. Susanne Raab"
Mitglied des Europäischen Parlaments Harald Vilimsky (FPÖ),FPÖ,Mitglied des Europäischen Parlaments Harald Vilimsky
"Mitglied des Europäischen Parlaments Mag. Christian Sagartz, BA",ÖVP,"Mitglied des Europäischen Parlaments Mag. Christian Sagartz, BA"
Abgeordnete Heike Grebien (Grüne),Grüne,Abgeordnete Heike Grebien
Bundesminister für öffentlichen Dienst und Sport Vizekanzler Mag. Werner Kogler,Grüne,Mag. Werner Kogler
"Bundesministerin für Verkehr, Innovation und Technologie Leonore Gewessler, BA",Grüne,"Abgeordnete Leonore Gewessler, BA"
"Abgeordneter Hannes Amesbauer, BA (FPÖ)",FPÖ,"Abgeordneter Mag. Hannes Amesbauer, BA"
"Abgeordneter Mag. Gernot Blümel, MBA",ÖVP,"Mag. Gernot Blümel, MBA"
"Abgeordneter Hannes Amesbauer, BA",FPÖ,"Abgeordneter Mag. Hannes Amesbauer, BA"
"Bundesministerin für Nachhaltigkeit und Tourismus Dipl.-Ing. Maria Patek, MBA",Parteilos,"Bundesministerin für Nachhaltigkeit und Tourismus Dipl.-Ing. Maria Patek, MBA"
Abgeordnete Dipl.-Ing. Andrea Holzner (ÖVP),ÖVP,Abgeordnete Dipl.-Ing. Andrea Holzner
"Abgeordnete MMag. Katharina Werner, Bakk.",NEOS,"Abgeordnete MMag. Katharina Werner, Bakk."